Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Pkts,Total_Bytes,Pkt_Len_Std,Pkt_Len_Max,Payload_Bytes_Total,IAT_Std,IAT_Max
172.29.34.1,172.29.34.202,53,58581,DNS,0.0007381439208984,2,314,73.0,230,0,0.0,0.0007381439208984
172.29.34.1,172.29.34.202,53,57933,DNS,0.0004479885101318,2,239,25.5,145,0,0.0,0.0004479885101318
172.29.34.1,172.29.34.202,53,56476,DNS,0.0007057189941406,2,212,8.0,114,0,0.0,0.0007057189941406
172.29.34.1,172.29.34.202,53,59629,DNS,0.0003645420074462,2,319,64.5,224,0,0.0,0.0003645420074462
172.29.34.1,172.29.34.202,53,57624,DNS,0.0003492832183837,2,343,76.5,248,0,0.0,0.0003492832183837
172.29.34.1,172.29.34.202,53,39243,DNS,0.0003173351287841,2,288,42.0,186,0,0.0,0.0003173351287841
172.29.34.1,172.29.34.202,53,53202,DNS,0.0006933212280273,2,206,14.0,117,0,0.0,0.0006933212280273
172.29.34.1,172.29.34.202,53,37033,DNS,0.0012183189392089,2,229,25.5,140,0,0.0,0.0012183189392089
172.29.34.1,172.29.34.202,53,49665,DNS,0.006826639175415,2,257,42.5,171,0,0.0,0.006826639175415
172.29.34.1,172.29.34.202,53,52502,DNS,0.0057573318481445,2,293,60.5,207,0,0.0,0.0057573318481445
172.29.34.1,172.29.34.202,53,43828,DNS,0.001077651977539,2,224,26.0,138,0,0.0,0.001077651977539
172.29.34.1,172.29.34.202,53,56096,DNS,0.0064668655395507,2,221,25.5,136,0,0.0,0.0064668655395507
172.29.34.1,172.29.34.202,53,42607,DNS,0.0236647129058837,2,276,53.0,191,0,0.0,0.0236647129058837
172.29.34.1,172.29.34.202,53,39648,DNS,0.0007097721099853,2,264,48.0,180,0,0.0,0.0007097721099853
172.29.34.1,172.29.34.202,53,39425,DNS,0.0004048347473144,2,229,28.5,143,0,0.0,0.0004048347473144
172.29.34.1,172.29.34.202,53,33573,DNS,0.0241403579711914,2,241,34.5,155,0,0.0,0.0241403579711914
